,name,forward [log2(rna/dna)],reverse [log2(rna/dna)],chr.hg38,start.hg38,stop.hg38
24050,seq40669,-0.789,-0.769,2,79903688.0,79903888.0
24052,seq4067,-0.67,-0.698,1,114892600.0,114892800.0
24054,seq40672,0.476,0.473,2,79971910.0,79972110.0
24056,seq40675,-1.615,-0.96,2,80058685.0,80058885.0
24058,seq40686,0.836,-0.25,2,80791399.0,80791599.0
24060,seq4069,0.833,-0.404,1,114902470.0,114902670.0
24062,seq40690,-0.01,-1.274,2,80896666.0,80896866.0
24064,seq40700,-0.569,-1.777,2,81523435.0,81523635.0
24066,seq40701,-1.126,-0.718,2,81583860.0,81584060.0
24068,seq40703,-0.032,-0.529,2,81662829.0,81663029.0
24070,seq40704,-1.241,-2.0,2,81701260.0,81701460.0
24072,seq40719,-0.375,-0.339,2,82803408.0,82803608.0
24074,seq40720,-1.248,-1.156,2,83016453.0,83016653.0
24076,seq40721,2.363,2.142,2,83046059.0,83046259.0
24078,seq40722,-1.416,-1.329,2,83072010.0,83072210.0
24080,seq40728,-0.543,-1.629,2,83517860.0,83518060.0
24082,seq40734,-1.44,-1.198,2,83875135.0,83875335.0
24084,seq40738,-0.534,-0.455,2,84217544.0,84217744.0
24086,seq40741,1.312,2.086,2,84297288.0,84297488.0
24088,seq40746,-2.121,-0.816,2,84741565.0,84741765.0
24090,seq40747,-1.633,-1.921,2,84747942.0,84748142.0
24092,seq40749,-0.295,-1.128,2,84830855.0,84831055.0
24094,seq40750,-0.63,0.093,2,84855830.0,84856030.0
24096,seq40751,-1.417,-0.562,2,84858215.0,84858415.0
24098,seq40754,-1.469,-1.155,2,84926581.0,84926781.0
24100,seq40755,-1.542,-1.583,2,84927060.0,84927260.0
24102,seq40771,-0.347,-1.16,2,85231335.0,85231535.0
24104,seq40772,-1.285,-1.11,2,85232050.0,85232250.0
24106,seq40773,-0.551,-0.456,2,85237880.0,85238080.0
24108,seq40776,-1.635,-1.058,2,85249191.0,85249391.0
24110,seq40779,-1.003,-1.035,2,85266540.0,85266740.0
24112,seq40782,-0.501,0.604,2,85300425.0,85300625.0
24114,seq40788,0.974,1.754,2,85501346.0,85501546.0
24116,seq40796,-0.843,-0.963,2,85750595.0,85750795.0
24118,seq40798,-1.341,-1.352,2,85765500.0,85765700.0
24120,seq408,0.128,0.071,1,9101645.0,9101845.0
24122,seq40801,-1.49,-0.372,2,85772360.0,85772560.0
24124,seq40805,-1.772,-1.503,2,85827480.0,85827680.0
24126,seq40811,-1.247,-0.585,2,85935810.0,85936010.0
24128,seq40817,-0.533,-0.415,2,86221170.0,86221370.0
24130,seq40818,0.236,-0.316,2,86223159.0,86223359.0
24132,seq40819,-0.927,-1.066,2,86297485.0,86297685.0
24134,seq40825,-1.102,-1.712,2,86518585.0,86518785.0
24136,seq40826,-1.18,-0.862,2,86556600.0,86556800.0
24138,seq4083,-0.375,0.159,1,115507275.0,115507475.0
24140,seq40834,-1.658,-1.747,2,87075929.0,87076129.0
24142,seq40836,1.263,1.313,2,87076650.0,87076850.0
24144,seq40838,0.033,-0.735,2,87094056.0,87094256.0
24146,seq40839,-0.907,-0.792,2,87217721.0,87217921.0
24148,seq40847,-2.147,-1.052,2,87466897.0,87467097.0
24150,seq40848,-1.462,-1.592,2,87468656.0,87468856.0
24152,seq40854,0.043,0.812,2,88007140.0,88007340.0
24154,seq40862,-0.809,0.36,2,88188030.0,88188230.0
24156,seq40863,-0.75,-1.981,2,88190890.0,88191090.0
24158,seq40864,0.119,-2.162,2,88191555.0,88191755.0
24160,seq40866,-1.424,-0.448,2,88200951.0,88201151.0
24162,seq40884,0.202,0.168,2,88503888.0,88504088.0
24164,seq40887,1.872,0.945,2,88545290.0,88545490.0
24166,seq40889,-0.322,-0.7,2,88550040.0,88550240.0
24168,seq40894,0.267,-0.55,2,88740080.0,88740280.0
24170,seq40898,-0.682,-0.489,2,88831800.0,88832000.0
24172,seq40904,-0.049,-0.398,2,88941250.0,88941450.0
24174,seq40905,-0.782,0.106,2,88961440.0,88961640.0
24176,seq40906,-0.885,0.485,2,88987070.0,88987270.0
24178,seq40913,0.401,1.212,2,89143105.0,89143305.0
24180,seq40918,-1.387,1.42,2,89763206.0,89763406.0
24182,seq4092,-1.811,-0.202,1,115714935.0,115715135.0
24184,seq40920,-1.25,-1.355,2,90069375.0,90069575.0
24186,seq40923,-0.214,-0.692,2,90190000.0,90190200.0
24188,seq40925,-0.746,-2.025,2,90237965.0,90238165.0
24190,seq40937,-1.632,-1.344,2,94857401.0,94857601.0
24192,seq40938,-1.954,-1.484,2,94861428.0,94861628.0
24194,seq40939,-0.706,-1.737,2,94861728.0,94861928.0
24196,seq40940,0.063,-0.839,2,94874280.0,94874480.0
24198,seq40943,-0.812,-1.331,2,94998167.0,94998367.0
24200,seq40946,-0.856,0.969,2,95053695.0,95053895.0
24202,seq40947,-0.319,-1.273,2,95076800.0,95077000.0
24204,seq40948,-1.079,-0.633,2,95115425.0,95115625.0
24206,seq40950,-0.271,1.369,2,95231730.0,95231930.0
24208,seq40952,-1.386,-0.265,2,95285235.0,95285435.0
24210,seq40953,-1.13,-1.088,2,95289347.0,95289547.0
24212,seq40957,-1.443,-0.715,2,95323460.0,95323660.0
24214,seq40958,-1.06,-1.491,2,95330489.0,95330689.0
24216,seq40968,-0.286,-0.671,2,95728985.0,95729185.0
24218,seq40974,-2.023,-0.709,2,96049160.0,96049360.0
24220,seq40977,-1.172,-1.011,2,96108340.0,96108540.0
24222,seq40982,-1.357,-1.616,2,96174610.0,96174810.0
24224,seq40983,-2.143,-1.273,2,96213445.0,96213645.0
24226,seq40984,-1.103,-0.916,2,96241291.0,96241491.0
24228,seq40985,-0.599,1.273,2,96251775.0,96251975.0
24230,seq40986,-2.161,-2.242,2,96321260.0,96321460.0
24232,seq40989,-1.473,-1.676,2,96359397.0,96359597.0
24234,seq40994,-0.659,-0.638,2,96470645.0,96470845.0
24236,seq41,0.657,0.895,1,1069205.0,1069405.0
24238,seq41002,-1.774,-1.011,2,96554460.0,96554660.0
24240,seq41003,-1.114,0.33,2,96565170.0,96565370.0
24242,seq41009,-1.187,-0.475,2,96801065.0,96801265.0
24244,seq41014,-2.936,-1.647,2,96882262.0,96882462.0
24246,seq41020,-1.121,-1.062,2,97046810.0,97047010.0
24248,seq41021,-2.81,-1.152,2,97082396.0,97082596.0
24250,seq41024,-0.718,-0.737,2,97268059.0,97268259.0
24252,seq41025,-0.319,-0.576,2,97348340.0,97348540.0
24254,seq41028,-0.475,-1.116,2,97490210.0,97490410.0
24256,seq41034,-1.27,-0.768,2,97748480.0,97748680.0
24258,seq41038,-0.066,0.002,2,97858555.0,97858755.0
24260,seq41042,-1.331,-1.484,2,97936295.0,97936495.0
24262,seq41043,-0.893,-1.168,2,98034799.0,98034999.0
24264,seq41044,-2.582,-0.191,2,98063405.0,98063605.0
24266,seq41047,-1.103,-1.188,2,98175950.0,98176150.0
24268,seq41049,-0.764,-0.801,2,98297915.0,98298115.0
24270,seq41056,-1.233,0.446,2,98569290.0,98569490.0
24272,seq41057,-1.429,-1.071,2,98601625.0,98601825.0
24274,seq41058,-0.404,-1.063,2,98634840.0,98635040.0
24276,seq41061,-1.594,-1.587,2,98796305.0,98796505.0
24278,seq41063,-1.078,-0.488,2,98822830.0,98823030.0
24280,seq41065,-1.681,-1.642,2,98869390.0,98869590.0
24282,seq41068,-1.6,-1.087,2,99031590.0,99031790.0
24284,seq41076,-0.906,-0.523,2,99530083.0,99530283.0
24286,seq41082,-0.921,-0.611,2,99615535.0,99615735.0
24288,seq41086,-1.68,-1.336,2,99710872.0,99711072.0
24290,seq41090,-0.468,-0.033,2,99822675.0,99822875.0
24292,seq41091,-1.917,-0.765,2,99934048.0,99934248.0
24294,seq41093,-1.789,-0.409,2,100038120.0,100038320.0
24296,seq41098,-1.701,-1.466,2,100182806.0,100183006.0
24298,seq41099,-1.438,-1.182,2,100197645.0,100197845.0
24300,seq411,0.385,-1.425,1,9181355.0,9181555.0
24302,seq41102,-1.091,-1.097,2,100237829.0,100238029.0
24304,seq41107,-1.079,-0.373,2,100262645.0,100262845.0
24306,seq4111,1.085,-0.72,1,116152080.0,116152280.0
24308,seq41111,0.275,0.23,2,100381270.0,100381470.0
24310,seq41112,-0.302,-0.288,2,100408985.0,100409185.0
24312,seq41115,-0.806,-1.367,2,100422415.0,100422615.0
24314,seq41116,-0.181,-0.755,2,100427725.0,100427925.0
24316,seq4112,-1.883,-1.624,1,116167820.0,116168020.0
24318,seq41123,-1.398,-1.532,2,100639793.0,100639993.0
24320,seq41129,-0.74,-0.751,2,100870820.0,100871020.0
24322,seq4113,0.268,0.979,1,116168425.0,116168625.0
24324,seq41131,-1.483,-0.342,2,100954150.0,100954350.0
24326,seq41146,0.652,0.82,2,101330485.0,101330685.0
24328,seq41151,-0.739,-1.137,2,101442745.0,101442945.0
24330,seq41154,-1.235,-0.934,2,101533675.0,101533875.0
24332,seq41165,-1.273,0.215,2,101831375.0,101831575.0
24334,seq41166,-0.846,-1.31,2,101860255.0,101860455.0
24336,seq41168,0.582,1.056,2,101935890.0,101936090.0
24338,seq4117,0.229,1.59,1,116418550.0,116418750.0
24340,seq41174,-0.271,-0.564,2,102112375.0,102112575.0
24342,seq4118,-1.39,-1.666,1,116454095.0,116454295.0
24344,seq41181,-0.736,-0.821,2,102245806.0,102246006.0
24346,seq41182,-1.981,-1.966,2,102250495.0,102250695.0
24348,seq412,-1.316,-0.868,1,9182210.0,9182410.0
24350,seq41200,-0.124,-1.319,2,102841325.0,102841525.0
24352,seq41201,0.25,0.914,2,102848530.0,102848730.0
24354,seq41203,-1.082,-1.264,2,102892755.0,102892955.0
24356,seq41216,-1.469,-1.283,2,103401765.0,103401965.0
24358,seq41221,-0.385,-0.741,2,103784370.0,103784570.0
24360,seq41223,0.024,-1.122,2,103789435.0,103789635.0
24362,seq41224,-1.041,-2.053,2,103792140.0,103792340.0
24364,seq41236,-1.037,0.025,2,104332878.0,104333078.0
24366,seq41242,-0.439,-0.431,2,104434485.0,104434685.0
24368,seq41244,-0.492,0.829,2,104521380.0,104521580.0
24370,seq41247,-2.02,-1.745,2,104658575.0,104658775.0
24372,seq41252,-0.799,-1.32,2,104758285.0,104758485.0
24374,seq41257,-2.198,-1.598,2,104843300.0,104843500.0
24376,seq41262,-0.879,-0.626,2,104850658.0,104850858.0
24378,seq41263,-0.957,-1.711,2,104852330.0,104852530.0
24380,seq41264,-0.61,-0.86,2,104853175.0,104853375.0
24382,seq41266,-2.044,-1.98,2,104861760.0,104861960.0
24384,seq41273,1.431,1.068,2,104872320.0,104872520.0
24386,seq41276,1.029,1.32,2,104889309.0,104889509.0
24388,seq41283,0.846,-1.19,2,105103005.0,105103205.0
24390,seq41286,-0.244,-0.87,2,105126002.0,105126202.0
24392,seq41288,-1.285,0.202,2,105177946.0,105178146.0
24394,seq41290,-0.519,0.047,2,105235740.0,105235940.0
24396,seq41301,-1.223,-1.511,2,105593710.0,105593910.0
24398,seq41302,-0.541,-0.284,2,105645625.0,105645825.0
24400,seq41303,-1.074,-1.438,2,105652521.0,105652721.0
24402,seq41304,-1.546,-1.007,2,105762220.0,105762420.0
24404,seq41306,-1.433,-1.848,2,105888701.0,105888901.0
24406,seq41309,-0.594,-0.328,2,105950890.0,105951090.0
24408,seq41310,-0.186,1.129,2,105952232.0,105952432.0
24410,seq41311,-0.941,-0.008,2,105961857.0,105962057.0
24412,seq41312,-1.348,-0.922,2,105969650.0,105969850.0
24414,seq41320,-1.271,-1.291,2,106165180.0,106165380.0
24416,seq41321,0.121,0.734,2,106223475.0,106223675.0
24418,seq41323,-1.585,-1.016,2,106269945.0,106270145.0
24420,seq41325,-0.777,-0.63,2,106310880.0,106311080.0
24422,seq41327,-1.478,-0.759,2,106342771.0,106342971.0
24424,seq41329,0.165,-1.971,2,106462000.0,106462200.0
24426,seq4133,-0.962,-0.382,1,116817695.0,116817895.0
24428,seq41339,-0.696,-0.486,2,106582620.0,106582820.0
24430,seq41340,-1.499,-2.467,2,106584330.0,106584530.0
24432,seq41344,-1.08,-0.907,2,106745530.0,106745730.0
24434,seq41350,-1.714,-1.502,2,106868273.0,106868473.0
24436,seq41354,-1.588,-1.317,2,107062267.0,107062467.0
24438,seq41363,-0.906,-0.432,2,107649105.0,107649305.0
24440,seq41366,-1.122,-0.969,2,107801566.0,107801766.0
24442,seq41368,0.288,-0.472,2,107833775.0,107833975.0
24444,seq41372,-1.421,0.64,2,108075035.0,108075235.0
24446,seq41373,-0.51,-2.759,2,108106882.0,108107082.0
24448,seq41375,-2.007,-1.224,2,108133500.0,108133700.0
24450,seq41376,-1.5,-0.552,2,108182590.0,108182790.0
24452,seq41379,-1.068,-1.166,2,108316630.0,108316830.0
24454,seq41391,0.553,0.553,2,108935285.0,108935485.0
24456,seq41392,-0.116,-0.279,2,108944715.0,108944915.0
24458,seq41393,-1.366,-1.272,2,108960090.0,108960290.0
24460,seq41410,-2.008,-3.289,2,109349591.0,109349791.0
24462,seq41411,-0.083,-1.125,2,109383004.0,109383204.0
24464,seq41414,-0.545,-0.404,2,109410075.0,109410275.0
24466,seq41415,-1.23,-1.336,2,109415547.0,109415747.0
24468,seq41423,-1.385,-1.001,2,109644931.0,109645131.0
24470,seq4143,-1.074,-1.205,1,117036187.0,117036387.0
24472,seq41430,-1.232,0.872,2,110167680.0,110167880.0
24474,seq41433,-0.899,-1.007,2,110268075.0,110268275.0
24476,seq41434,0.073,-0.991,2,110299176.0,110299376.0
24478,seq41439,-0.318,0.095,2,110688730.0,110688930.0
24480,seq41441,-1.712,-1.031,2,110735560.0,110735760.0
24482,seq41446,-0.22,-1.229,2,110837850.0,110838050.0
24484,seq41448,-0.853,-0.854,2,110854437.0,110854637.0
24486,seq41456,-1.176,-0.887,2,111117410.0,111117610.0
24488,seq41460,-0.445,-0.847,2,111187050.0,111187250.0
24490,seq41472,-0.29,-0.151,2,111702220.0,111702420.0
24492,seq4148,-0.284,-0.138,1,117269150.0,117269350.0
24494,seq41485,-0.725,-1.012,2,112345731.0,112345931.0
24496,seq41488,-1.495,-1.929,2,112493160.0,112493360.0
24498,seq41490,0.784,0.603,2,112509320.0,112509520.0
24500,seq41492,0.576,-0.32,2,112600130.0,112600330.0
24502,seq41495,-0.395,-0.462,2,112631120.0,112631320.0
24504,seq41496,-0.701,-0.879,2,112683967.0,112684167.0
24506,seq41497,-1.503,-1.246,2,112690945.0,112691145.0
24508,seq41498,-0.947,-1.243,2,112692545.0,112692745.0
24510,seq41499,-0.878,-1.907,2,112724960.0,112725160.0
24512,seq41501,-0.454,-0.678,2,112749755.0,112749955.0
24514,seq41502,-1.343,-1.495,2,112791175.0,112791375.0
24516,seq41505,-1.947,-1.235,2,112850073.0,112850273.0
24518,seq41506,0.264,0.069,2,112850712.0,112850912.0
24520,seq41508,-0.652,-0.851,2,112941820.0,112942020.0
24522,seq41509,-0.744,-0.671,2,112958885.0,112959085.0
24524,seq41525,-0.294,-0.057,2,113225930.0,113226130.0
24526,seq41529,-0.814,-0.069,2,113283130.0,113283330.0
24528,seq41531,-1.371,-1.594,2,113291280.0,113291480.0
24530,seq41537,0.671,-0.068,2,113406270.0,113406470.0
24532,seq41541,-1.283,-0.775,2,113583650.0,113583850.0
24534,seq41552,-0.941,-0.654,2,113965740.0,113965940.0
24536,seq41555,-0.809,-0.791,2,114109007.0,114109207.0
24538,seq41570,0.688,-0.378,2,115357943.0,115358143.0
24540,seq41572,-0.693,-0.71,2,115427516.0,115427716.0
24542,seq41584,-0.883,-1.248,2,116094305.0,116094505.0
24544,seq41590,1.744,1.077,2,116589194.0,116589394.0
24546,seq41597,0.265,0.506,2,117470350.0,117470550.0
24548,seq41599,-1.514,-1.521,2,117537131.0,117537331.0
24550,seq41601,-1.514,-0.786,2,117603608.0,117603808.0
24552,seq41608,-1.114,-1.336,2,117804016.0,117804216.0
24554,seq41609,-1.792,-1.672,2,117833325.0,117833525.0
24556,seq41615,-2.248,-2.036,2,117859381.0,117859581.0
24558,seq41620,-1.117,-0.724,2,118032490.0,118032690.0
24560,seq41622,-1.579,-2.566,2,118142712.0,118142912.0
24562,seq41624,-2.152,-2.627,2,118185885.0,118186085.0
24564,seq41625,-0.168,0.92,2,118186365.0,118186565.0
24566,seq41632,-1.043,-1.158,2,118237545.0,118237745.0
24568,seq41635,-0.362,-0.603,2,118309347.0,118309547.0
24570,seq41661,2.596,1.911,2,118808125.0,118808325.0
24572,seq4167,-0.892,-1.573,1,117842960.0,117843160.0
24574,seq41676,-0.112,-0.019,2,119196591.0,119196791.0
24576,seq41677,-1.19,-1.751,2,119218590.0,119218790.0
24578,seq41681,-0.32,-1.239,2,119255885.0,119256085.0
24580,seq41694,-1.809,-0.599,2,119660125.0,119660325.0
24582,seq41706,-1.955,-2.297,2,119997263.0,119997463.0
24584,seq41712,-1.749,-1.031,2,120204016.0,120204216.0
24586,seq41713,-1.652,-1.157,2,120206345.0,120206545.0
24588,seq41717,-2.073,-0.961,2,120305387.0,120305587.0
24590,seq4172,-0.952,-1.343,1,118247735.0,118247935.0
24592,seq41720,-1.562,-1.921,2,120313799.0,120313999.0
24594,seq41723,0.678,1.008,2,120385309.0,120385509.0
24596,seq41724,0.585,0.008,2,120395958.0,120396158.0
24598,seq41728,2.035,2.573,2,120443030.0,120443230.0
24600,seq41734,0.179,-0.195,2,120553290.0,120553490.0
24602,seq41736,-0.997,-0.607,2,120586781.0,120586981.0
24604,seq41747,-0.102,0.209,2,120709613.0,120709813.0
24606,seq41759,-0.935,0.155,2,120856670.0,120856870.0
24608,seq41761,-0.4,-0.584,2,120883712.0,120883912.0
24610,seq41764,-1.372,-0.955,2,120899922.0,120900122.0
24612,seq41765,-0.87,-0.405,2,120904540.0,120904740.0
24614,seq41766,-0.503,-0.644,2,120911769.0,120911969.0
24616,seq41767,-0.716,-1.196,2,120958750.0,120958950.0
24618,seq41769,-1.181,-1.281,2,121002701.0,121002901.0
24620,seq41776,-1.34,-0.207,2,121071085.0,121071285.0
24622,seq41779,-0.604,-1.13,2,121075945.0,121076145.0
24624,seq41786,-0.474,-1.228,2,121104778.0,121104978.0
24626,seq41787,-0.77,-0.36,2,121128860.0,121129060.0
24628,seq41789,-0.69,-0.041,2,121249054.0,121249254.0
24630,seq4179,-0.936,0.417,1,118739525.0,118739725.0
24632,seq41790,-1.12,-0.138,2,121297545.0,121297745.0
24634,seq41793,-0.979,-1.235,2,121336981.0,121337181.0
24636,seq41797,-1.176,-0.208,2,121402400.0,121402600.0
24638,seq41800,1.901,1.41,2,121530555.0,121530755.0
24640,seq41805,-1.314,-0.907,2,121696527.0,121696727.0
24642,seq41815,-1.529,-0.521,2,121955417.0,121955617.0
24644,seq41816,-0.162,-0.934,2,121975135.0,121975335.0
24646,seq41819,-1.781,-1.436,2,122136155.0,122136355.0
24648,seq4182,2.645,2.851,1,118960205.0,118960405.0
24650,seq41822,-1.154,-1.554,2,122191425.0,122191625.0
24652,seq41829,-0.544,-0.674,2,122531905.0,122532105.0
24654,seq41833,-0.541,-0.546,2,122661400.0,122661600.0
24656,seq41837,-0.195,-0.613,2,122988730.0,122988930.0
24658,seq41846,-0.619,-1.676,2,123993800.0,123994000.0
24660,seq41849,-1.386,-0.981,2,124147643.0,124147843.0
24662,seq4185,-1.029,-0.801,1,118984390.0,118984590.0
24664,seq41850,-0.881,-0.808,2,124203225.0,124203425.0
24666,seq41856,-1.007,-1.206,2,124426750.0,124426950.0
24668,seq41864,-1.112,-0.928,2,124961248.0,124961448.0
24670,seq41869,-1.015,-1.654,2,125296841.0,125297041.0
24672,seq41870,-0.99,-1.072,2,125313861.0,125314061.0
24674,seq41872,-0.777,0.065,2,125472150.0,125472350.0
24676,seq41876,0.459,0.071,2,125825857.0,125826057.0
24678,seq41877,-1.041,-1.289,2,126029405.0,126029605.0
24680,seq41883,-0.36,-0.814,2,126634360.0,126634560.0
24682,seq41885,-0.167,-1.259,2,126749685.0,126749885.0
24684,seq41892,-1.297,-1.296,2,126827505.0,126827705.0
24686,seq41893,1.913,0.136,2,126864950.0,126865150.0
24688,seq41901,-0.179,-0.294,2,127025575.0,127025775.0
24690,seq41904,-1.457,0.056,2,127064842.0,127065042.0
24692,seq41907,-0.871,-1.008,2,127094891.0,127095091.0
24694,seq41911,-1.506,-1.445,2,127174275.0,127174475.0
24696,seq41912,-1.126,-1.572,2,127197890.0,127198090.0
24698,seq41913,-1.35,-0.703,2,127201700.0,127201900.0
24700,seq41916,-1.354,-1.036,2,127359644.0,127359844.0
24702,seq41918,-1.769,-1.698,2,127408534.0,127408734.0
24704,seq41921,-1.381,-0.678,2,127453443.0,127453643.0
24706,seq41923,0.491,0.47,2,127455727.0,127455927.0
24708,seq41934,2.189,1.612,2,127829990.0,127830190.0
24710,seq4195,-0.357,-0.807,1,119326304.0,119326504.0
24712,seq41964,-1.942,-1.19,2,128589754.0,128589954.0
24714,seq41966,-1.488,-0.899,2,128608306.0,128608506.0
24716,seq41972,-2.008,-1.374,2,128681655.0,128681855.0
24718,seq41992,-1.055,-2.756,2,129554480.0,129554680.0
24720,seq41996,-0.877,-0.796,2,129619555.0,129619755.0
24722,seq42,-1.14,-1.748,1,1079640.0,1079840.0
24724,seq420,-0.837,-0.073,1,9267185.0,9267385.0
24726,seq42025,-1.14,-1.064,2,130252110.0,130252310.0
24728,seq42026,-1.095,-1.948,2,130252885.0,130253085.0
24730,seq42030,-1.821,-1.807,2,130332340.0,130332540.0
24732,seq42037,-1.329,-0.36,2,130391265.0,130391465.0
24734,seq42041,-0.048,-0.359,2,130428435.0,130428635.0
24736,seq42048,-0.333,-0.645,2,130726925.0,130727125.0
24738,seq42049,-1.204,-0.988,2,130768341.0,130768541.0
24740,seq42050,-0.395,0.26,2,130796470.0,130796670.0
24742,seq4208,-2.422,-1.251,1,119516745.0,119516945.0
24744,seq42093,1.383,0.818,2,131682340.0,131682540.0
24746,seq42096,0.707,-2.114,2,131775980.0,131776180.0
24748,seq42100,-1.634,-3.667,2,131829905.0,131830105.0
24750,seq42101,-2.055,-1.738,2,131830353.0,131830553.0
24752,seq42106,-1.482,-1.817,2,132037990.0,132038190.0
24754,seq42113,-1.654,-0.933,2,132257635.0,132257835.0
24756,seq42114,0.835,1.489,2,132268505.0,132268705.0
24758,seq42116,1.295,1.571,2,132347345.0,132347545.0
24760,seq42120,-1.468,-2.376,2,132361069.0,132361269.0
24762,seq42130,-1.217,-1.165,2,132978575.0,132978775.0
24764,seq42148,-0.849,-1.148,2,133480070.0,133480270.0
24766,seq42152,-0.7,-0.616,2,133571350.0,133571550.0
24768,seq42164,-0.511,-0.31,2,133886740.0,133886940.0
24770,seq42165,-1.848,-1.982,2,133940250.0,133940450.0
24772,seq42170,-0.946,-1.124,2,134207690.0,134207890.0
24774,seq42188,-0.972,-0.235,2,134705985.0,134706185.0
24776,seq4219,-1.224,-1.518,1,119631495.0,119631695.0
24778,seq42194,-0.809,-1.154,2,134852629.0,134852829.0
24780,seq42205,-1.141,-0.822,2,135819320.0,135819520.0
24782,seq42206,-0.32,-0.535,2,135997420.0,135997620.0
24784,seq42210,-0.233,-0.865,2,136246175.0,136246375.0
24786,seq42214,-0.233,-1.531,2,136384755.0,136384955.0
24788,seq42221,-1.008,-1.887,2,136582740.0,136582940.0
24790,seq42231,-1.287,-1.229,2,137223811.0,137224011.0
24792,seq42233,-0.376,-0.936,2,137467350.0,137467550.0
24794,seq42237,0.293,0.903,2,137587930.0,137588130.0
24796,seq42243,-0.494,-1.347,2,137947830.0,137948030.0
24798,seq42244,0.771,0.429,2,137992175.0,137992375.0
24800,seq42256,-1.038,-1.057,2,138829420.0,138829620.0
24802,seq42260,-1.867,-1.246,2,139271238.0,139271438.0
24804,seq42261,-1.48,-0.864,2,139353950.0,139354150.0
24806,seq42274,-1.506,-1.899,2,140154380.0,140154580.0
24808,seq42277,-1.551,-0.933,2,140565857.0,140566057.0
24810,seq42279,-0.768,-0.667,2,140586475.0,140586675.0
24812,seq42288,-0.597,0.111,2,141029491.0,141029691.0
24814,seq42294,-0.379,-1.015,2,141570649.0,141570849.0
24816,seq42298,-1.735,-0.221,2,141824914.0,141825114.0
24818,seq42299,-0.779,-1.442,2,141911750.0,141911950.0
24820,seq42304,-1.346,-1.424,2,142286725.0,142286925.0
24822,seq42306,0.387,1.283,2,142613245.0,142613445.0
24824,seq42307,-1.137,0.32,2,142707465.0,142707665.0
24826,seq42308,-1.354,-1.118,2,142717005.0,142717205.0
24828,seq42309,0.938,2.266,2,142811740.0,142811940.0
24830,seq42310,-1.111,-1.905,2,143026570.0,143026770.0
24832,seq4233,-1.171,-1.073,1,119968085.0,119968285.0
24834,seq42331,-0.836,-1.294,2,143877113.0,143877313.0
24836,seq42337,1.848,1.688,2,144020155.0,144020355.0
24838,seq42339,1.666,2.222,2,144268047.0,144268247.0
24840,seq42344,-0.307,-0.76,2,144444450.0,144444650.0
24842,seq42347,-1.541,-0.509,2,144479315.0,144479515.0
24844,seq42357,-1.216,-0.561,2,144747635.0,144747835.0
24846,seq42359,-1.402,-1.725,2,144894697.0,144894897.0
24848,seq42362,0.012,-1.27,2,145012890.0,145013090.0
24850,seq42369,-0.91,-1.465,2,145906490.0,145906690.0
24852,seq42373,-1.067,-0.887,2,146412710.0,146412910.0
24854,seq42385,-1.937,-1.272,2,147046585.0,147046785.0
24856,seq42398,-1.651,-1.165,2,147756183.0,147756383.0
24858,seq42409,-0.063,-1.046,2,148508050.0,148508250.0
24860,seq42422,-0.146,-0.747,2,148888325.0,148888525.0
24862,seq42424,-2.013,-0.944,2,148927020.0,148927220.0
24864,seq42427,-0.212,0.586,2,149017460.0,149017660.0
24866,seq42429,-0.079,-1.534,2,149223745.0,149223945.0
24868,seq42433,0.187,-1.295,2,149388523.0,149388723.0
24870,seq42435,0.552,0.539,2,149489613.0,149489813.0
24872,seq42456,-0.977,-0.403,2,150610805.0,150611005.0
24874,seq42459,-1.632,-0.761,2,150711009.0,150711209.0
24876,seq4246,-1.958,-0.09,1,120415692.0,120415892.0
24878,seq42461,-0.005,-1.223,2,150803661.0,150803861.0
24880,seq42464,-1.101,-0.884,2,150912121.0,150912321.0
24882,seq42471,-1.483,-0.92,2,151176790.0,151176990.0
24884,seq42472,0.871,0.874,2,151217440.0,151217640.0
24886,seq42477,-0.726,-0.58,2,151526675.0,151526875.0
24888,seq42488,-0.598,0.001,2,152033233.0,152033433.0
24890,seq42492,-1.452,-0.69,2,152050470.0,152050670.0
24892,seq42500,-0.941,-0.708,2,152453420.0,152453620.0
24894,seq42501,-0.455,0.735,2,152493425.0,152493625.0
24896,seq42509,-1.993,-0.751,2,152948958.0,152949158.0
24898,seq42513,-0.84,-0.573,2,153287225.0,153287425.0
24900,seq42531,-1.72,-0.111,2,154240925.0,154241125.0
24902,seq42532,0.506,1.372,2,154241160.0,154241360.0
24904,seq42533,-0.995,-0.524,2,154338645.0,154338845.0
24906,seq42534,-1.1,-0.621,2,154568482.0,154568682.0
24908,seq42536,-0.62,-1.484,2,154616739.0,154616939.0
24910,seq42538,-1.399,-0.823,2,154635407.0,154635607.0
24912,seq42539,-0.397,-1.262,2,154908416.0,154908616.0
24914,seq42540,1.56,1.364,2,155054828.0,155055028.0
24916,seq42541,0.614,-0.672,2,155099915.0,155100115.0
24918,seq42548,-0.962,-0.881,2,155766829.0,155767029.0
24920,seq42563,-1.502,-1.842,2,156399550.0,156399750.0
24922,seq42575,-1.38,-1.436,2,157246370.0,157246570.0
24924,seq42584,-0.307,-1.135,2,157704731.0,157704931.0
24926,seq42587,-1.664,-0.435,2,157784556.0,157784756.0
24928,seq42589,-2.558,-0.515,2,157891887.0,157892087.0
